Node,Node_Type,CF_Type,Old_VId,New_VId
JSITOGEC001P,femsws,cf_femsws,,1602599611000
PSITOB00001P,fire,cf_fire,1589189048000,1602599611000
PSITOD00005P,fire,cf_fire,1595855069000,1602599611000
PSITOG00001E,fire,cf_fire,,1602599611000
