Logical Site,Eas Id,Implementation
SITOA2008,16000JEAS01A,JAVAMQ
SITOA2008,22210SMARTIT,JAVAMQ
SITOA2008,22220SMARTIT,JAVAMQ
SITOB2008,03595FMSIM1T,FEI
SITOB2008,03595FMSIM2T,FEI
SITOB2008,12431SISISVT,JAVAMQ
SITOC2008,300003RNIG1T,CICSMQ
SITOC2008,31010SMARTIT,JAVAMQ
SITOC2008,83400DEPGW4T,JAVAMQ
SITOD2008,400012RNIG4T,CICSMQ
SITOD2008,41000SMARTIT,JAVAMQ
SITOD2008,44500DEPIN2D,JAVAMQ
SITOL2016,55100ITPSM1T,JAVAMQ
